,sigma_e,sigma_eta,delta
RV1_log1p,0.6877293696980623,0.2504309739630494,0.487949840868526
MAD_r1_log1p,0.7808235182533712,0.3128208045945632,0.5497420001202075
IQR_r1_log1p,0.7833754511363038,0.3132349110571195,0.5507643043967213
MAD_over_sqrtRV1_log1p,2.8894520951466927,2.4934411991582848,1.6493017408106818
IQR_over_sqrtRV1_log1p,2.9544045998256085,2.5943126742423077,1.7105927859597867
VR10_log1p,0.49515843437867735,0.4854779955911256,0.7248635341684848
VR20_log1p,0.48024872212393316,0.46778788545542793,0.8047232332654856
VR30_log1p,0.4690279702554782,0.44980180078285875,0.8260952638366017
VR50_log1p,0.4635967031184083,0.4400121700084864,0.8482958914657734
VR100_log1p,0.4657722399997334,0.437311286234983,0.8487876405690981
VR_SLOPE_10_50,0.2923522618507121,0.24046836107828037,0.6887691034031325
VR_SLOPE_50_100,0.9002656464793961,0.6126115979907857,1.0724035200764381
VR_AREA_DEF_5_50_log1p,0.0,0.0,0.0
VR_CURV_10_30_50,0.29070660374289037,0.2553298804018532,0.6355125849993152
MA3_VAR_log1p,0.8539032871964296,0.09918505458674463,0.330885168911018
MA3_VAR_over_RV1_log1p,0.5545569632748384,0.5518017232673437,0.644712967778938
MA3_RESID_VAR_log1p,0.370803950916228,0.37481329848459966,0.5503467001556414
MA3_RESID_VAR_over_RV1_log1p,0.5376294693335933,0.5329184986874569,0.5764370465949494
MA5_VAR_log1p,0.8893479112593395,0.061034326641497084,0.25351223237960274
MA5_VAR_over_RV1_log1p,0.5132242764302007,0.5121858018646438,0.6505743359931668
MA5_RESID_VAR_log1p,0.4267247625824694,0.33192970645667924,0.5466654204996856
MA5_RESID_VAR_over_RV1_log1p,0.4845192364803642,0.48267504636178604,0.6642968174190256
MA8_VAR_log1p,0.929502650486198,0.03968518558942754,0.18934820497509788
MA8_VAR_over_RV1_log1p,0.4605139380573973,0.45795922862190186,0.7120846556196938
MA8_RESID_VAR_log1p,0.4745284379347382,0.3091633225243024,0.5512784464951962
MA8_RESID_VAR_over_RV1_log1p,0.4347322317349415,0.43566010970419916,0.7343571753565074
P_SIGN_FLIP_L1,0.5975555114349805,0.5990523774293676,0.6362847315382134
ACF_SIGN_LAG1,0.7163814169702627,0.7169004174772645,0.7615053556269926
ACF_LAG1_Z,0.7335702648462247,0.7302220677387335,0.8043774444604137
COV_LAG1,0.9774464754003575,0.11902322468436327,0.35764664246616856
ACF_LAG2_Z,0.4422711326401469,0.4390283513319395,0.7430228394077295
COV_LAG2,1.0341655763503586,0.12787003993369322,0.3919231921767507
ACF_LAG3_Z,0.32242782810355686,0.30938535302584547,0.620369056197368
COV_LAG3,0.8962741181393843,0.12144263152996274,0.48330246256698467
ACF_LAG4_Z,0.24511000101665334,0.22191823920261383,0.5043742223441663
COV_LAG4,0.7632785937832821,0.11612881236649875,0.5071817018841261
