,sigma_e,sigma_eta,delta
RV1_log1p,0.0010585303842083917,0.00038545510307807834,0.0007510363164448693
MAD_r1_log1p,0.012414988540396354,0.00497380856678916,0.008740823594727169
IQR_r1_log1p,0.024397534055266228,0.009755423658897193,0.01715306607253639
MAD_over_sqrtRV1_log1p,0.0012642299326008732,0.001090962194684208,0.0007216235327541342
IQR_over_sqrtRV1_log1p,0.0017795190946657158,0.0015626258304701976,0.001030337052004504
VR10_log1p,0.2762094031442473,0.270809458330545,0.4043435600262666
VR20_log1p,0.31339766800186,0.3052660541664486,0.5251411884595032
VR30_log1p,0.32859278511387435,0.3151232673564617,0.5787478801436774
VR50_log1p,0.3402984905635703,0.3229865015783875,0.6226830550676935
VR100_log1p,0.35578972876833415,0.3340492424300877,0.6483639394657066
VR_SLOPE_10_50,0.005212836887000284,0.0042877121416815545,0.01228121501820088
VR_SLOPE_50_100,0.0013615854160756312,0.0009265298757150025,0.001621931258617305
VR_AREA_DEF_5_50_log1p,0.0,0.0,0.0
VR_CURV_10_30_50,0.1331467953991629,0.11694387023703692,0.29107169578897585
MA3_VAR_log1p,0.0007107302218658713,8.255480088812372e-05,0.0002754060009352748
MA3_VAR_over_RV1_log1p,0.08261389697034471,0.08220344118458817,0.09604468832381713
MA3_RESID_VAR_log1p,0.00030040462267496226,0.00030365277183969856,0.0004458601166253933
MA3_RESID_VAR_over_RV1_log1p,0.07843062041539017,0.07774337320962751,0.08409195881858281
MA5_VAR_log1p,0.0005483897443544931,3.7634988917198875e-05,0.00015632072279624104
MA5_VAR_over_RV1_log1p,0.08205813899235564,0.08189209990544179,0.1040186946321258
MA5_RESID_VAR_log1p,0.0004407108892135528,0.00034280887568751165,0.0005645826647431935
MA5_RESID_VAR_over_RV1_log1p,0.06276601119586356,0.06252710951990365,0.08605491452182797
MA8_VAR_log1p,0.00040944517809536347,1.7481292681533873e-05,8.340773366005322e-05
MA8_VAR_over_RV1_log1p,0.06902143208850442,0.06863853444038603,0.10672663439123732
MA8_RESID_VAR_log1p,0.0005637752042735578,0.0003673091038940045,0.0006549599432588331
MA8_RESID_VAR_over_RV1_log1p,0.046231278781276613,0.04632995328006075,0.07809467258373698
P_SIGN_FLIP_L1,0.07426920768307343,0.07445525073561576,0.07908279978658035
ACF_SIGN_LAG1,0.14871106029994216,0.1488187977619479,0.15807817759750098
ACF_LAG1_Z,0.25092032003926923,0.24977505730163313,0.27514016784566137
COV_LAG1,0.000552800500994108,6.731427233240626e-05,0.00020226912481645468
ACF_LAG2_Z,0.10807541404744672,0.1072829930489119,0.1815684883983551
COV_LAG2,0.0002916926043063661,3.6066511798476066e-05,0.00011054428732538925
ACF_LAG3_Z,0.05667537434405697,0.05438280809209898,0.10904656926871284
COV_LAG3,0.0001473125994995426,1.996044444291512e-05,7.943612413250646e-05
