sigma_e,sigma_eta,delta,kappa,log10_kappa
0.005,0.005,0.05,253.4401660729017,2.4038754444916326
0.005,0.005,0.125,898.9177881360539,2.953719974501307
0.005,0.005,0.2,560.4464699065617,2.7485341380114576
0.005,0.005,0.27499999999999997,444.4725458476576,2.647844940660349
0.005,0.005,0.35,230.03104125636125,2.3617864453076645
0.005,0.005,0.425,439.82770452708843,2.643282581878541
0.005,0.005,0.49999999999999994,328.94033287855353,2.5171171275801663
0.005,0.005,0.5750000000000001,535.3192223028991,2.728612838358574
0.005,0.005,0.65,1077.2657229307192,3.03232284143037
0.005,0.005,0.725,2148.515972785483,3.332138586722184
0.005,0.005,0.8,671.9386652940398,2.8273296323692403
0.005,0.005884519781214263,0.05,469.21853406148284,2.6713751583489804
0.005,0.005884519781214263,0.125,396.7815888230814,2.5985515121261744
0.005,0.005884519781214263,0.2,799.5736990138229,2.902858500102125
0.005,0.005884519781214263,0.27499999999999997,749.1521287237955,2.874570017908569
0.005,0.005884519781214263,0.35,610.1743558847096,2.7854539513696577
0.005,0.005884519781214263,0.425,414.30864949832534,2.61732400013436
0.005,0.005884519781214263,0.49999999999999994,400.59247904063346,2.602702791333461
0.005,0.005884519781214263,0.5750000000000001,856.6939904450003,2.9328257204134776
0.005,0.005884519781214263,0.65,1972.2891340539322,3.294970582065428
0.005,0.005884519781214263,0.725,747.2296083695285,2.873454072130953
0.005,0.005884519781214263,0.8,487.80352342044534,2.6882449329119686
0.005,0.006925514611100392,0.05,373.9220497217402,2.572781075718887
0.005,0.006925514611100392,0.125,106.0339068312183,2.0254447633310515
0.005,0.006925514611100392,0.2,92.47697991856909,1.9660336382680945
0.005,0.006925514611100392,0.27499999999999997,130.1080268441307,2.114304090616762
0.005,0.006925514611100392,0.35,194.44016239294658,2.288785975117641
0.005,0.006925514611100392,0.425,559.8168362643213,2.7480459555569716
0.005,0.006925514611100392,0.49999999999999994,1611.2557757405166,3.2071644871451612
0.005,0.006925514611100392,0.5750000000000001,1177.6053124043444,3.0709997561838858
0.005,0.006925514611100392,0.65,480.3115700105658,2.6815230482904795
0.005,0.006925514611100392,0.725,392.5984525320874,2.5939485834501825
0.005,0.006925514611100392,0.8,419.97467763131783,2.6232231054061774
0.005,0.008150665544821734,0.05,103.84605594528946,2.01639000675726
0.005,0.008150665544821734,0.125,119.71178402948601,2.0781369030136414
0.005,0.008150665544821734,0.2,111.13742654728833,2.0458603362207137
0.005,0.008150665544821734,0.27499999999999997,207.97372499206043,2.3180084704831576
0.005,0.008150665544821734,0.35,433.58627177913553,2.637075523103779
0.005,0.008150665544821734,0.425,673.5407021070642,2.8283638452949167
0.005,0.008150665544821734,0.49999999999999994,484.2775269067791,2.685094315904209
0.005,0.008150665544821734,0.5750000000000001,329.87048217141034,2.518343455273691
0.005,0.008150665544821734,0.65,418.9341228176023,2.6221457357439983
0.005,0.008150665544821734,0.725,451.6545846244953,2.6548064229975656
0.005,0.008150665544821734,0.8,203.18364250388245,2.307888741720888
0.005,0.009592550525713006,0.05,40.307225262594145,1.6053829024790027
0.005,0.009592550525713006,0.125,101.18370828329887,2.0051105918294403
0.005,0.009592550525713006,0.2,326.2448228943399,2.51354362867964
0.005,0.009592550525713006,0.27499999999999997,144.46980789987543,2.1597770953104054
0.005,0.009592550525713006,0.35,297.32085146262636,2.4732253678581775
0.005,0.009592550525713006,0.425,267.8160538230422,2.427836606573641
0.005,0.009592550525713006,0.49999999999999994,243.48843764743407,2.3864783430244083
0.005,0.009592550525713006,0.5750000000000001,431.27725953331253,2.634756559190313
0.005,0.009592550525713006,0.65,292.3445193911672,2.465894956492152
0.005,0.009592550525713006,0.725,261.2659015075555,2.4170827325232134
0.005,0.009592550525713006,0.8,207.72342728950244,2.317485479533646
0.005,0.011289510664171094,0.05,19.17105439344265,1.2826459994018558
0.005,0.011289510664171094,0.125,37.41829124143085,1.5730839509522903
0.005,0.011289510664171094,0.2,43.882855096831314,1.6422948757955973
