,semi_delta,share_delta,score_delta
HALF_LOG_deltaHat31,1.5400501221593381,0.899187067408459,1.3847931530064943
LOG_deltaHat31,1.5400501221593381,0.899187067408459,1.3847931530064943
HL_PROXY31_log1p,1.2771638135962278,0.8966062824712749,1.1451130990153502
ACF_LAG5_D5,3.2456242857559103,0.3519398159140108,1.1422644136549778
ACF_LAG3_D8,3.0059995713211394,0.376829706166264,1.1327499351968604
HL_PROXY21_log1p,1.1762325615755662,0.9126538992401874,1.0734932337352143
ACF_LAG4_D8,2.970957225893547,0.34295183497483855,1.0188952322519478
ACF_LAG5_D8,3.1505275398349544,0.31655384646052315,0.9973116111145639
LOG_deltaHat21,1.0246862608553235,0.918170112214023,0.9408362991137
HALF_LOG_deltaHat21,1.0246862608553235,0.918170112214023,0.9408362991137
ACF_LAG4_D5,2.271206724792222,0.3930358545620702,0.8926656759658316
VR_SLOPE_10_50_D5,2.086094153303363,0.3599095605461483,0.7508052299733027
VR_SLOPE_10_50_D8,2.390459751881416,0.30856932196671627,0.7376225448267734
ACFCONTR_L2_D8_minus_D1,1.20842357135668,0.5363696148153791,0.6481616855024073
ACFCONTR_L2_D5_minus_D1,1.1942526340014028,0.5300286810947269,0.6329881484936671
ACFCONTR_L3_D2_minus_D1,1.113825878035855,0.5474356485331793,0.6097479918955961
ACFCONTR_L3_D5_minus_D1,1.0163092643414817,0.5736321971175348,0.5829877162551096
ACFCONTR_L4_D2_minus_D1,1.000429719715285,0.5617327144447499,0.5619741020668674
ACFCONTR_L4_D5_minus_D1,0.9564045553760482,0.5869813510113226,0.5613916380280161
NEG_ACF_MASS_L1_5_log1p,0.740264894001659,0.7492404916195451,0.5546364331104934
ACFCONTR_L3_D8_minus_D1,0.9599582331961798,0.5685058955730896,0.545741915075955
MA8_VAR_over_RV1_CONTR_D8_minus_D1,1.0565442588354912,0.5113810332578684,0.5402966947659623
MA8_VAR_over_RV1_CONTR_D5_minus_D1,1.0624950971927207,0.5038927291042636,0.5353835541843399
VR_AREA_DEF_5_50_D2,0.9670118733373874,0.5426084061282185,0.5247087712986624
ACFCONTR_L2_D2_minus_D1,1.1063213837430403,0.47019301831010546,0.5201845906431526
ACC3VAR_NORM_g4_log1p,0.9446038327908588,0.5354036930916992,0.5057443805847998
ACFCONTR_L5_D2_minus_D1,0.9224027252801422,0.5447552582091721,0.5024837347828279
VAR_CURV_10_20_30,1.3514095641897723,0.37101583503549007,0.5013943479328161
MA5_VAR_over_RV1_CONTR_D5_minus_D1,1.0798795705663562,0.4632945844676252,0.5003023569206175
MA5_VAR_over_RV1_CONTR_D8_minus_D1,1.0494672790162025,0.4659739743475171,0.4890244389508545
ACCVAR_NORM_g4_log1p,0.9251637533663588,0.5143890905980963,0.4758941417484428
ACF_LAG3_D5,1.0535998591422113,0.4510828653103575,0.4752608433524578
ACFCONTR_L1_D8_minus_D1,1.1467410327263752,0.4131969806514324,0.47382993231164366
HAAR_v3_over_RV1_log1p,0.9242971831237835,0.5123588497917407,0.47357184161104765
