,delta,share_delta
ACF_LAG5_D5,3.2456242857559103,0.3519398159140108
ACF_LAG5_D8,3.1505275398349544,0.31655384646052315
ACF_LAG3_D8,3.0059995713211394,0.376829706166264
ACF_LAG4_D8,2.970957225893547,0.34295183497483855
VR_SLOPE_10_50_D8,2.390459751881416,0.30856932196671627
ACF_LAG4_D5,2.271206724792222,0.3930358545620702
VR_SLOPE_10_50_D5,2.086094153303363,0.3599095605461483
IQR_over_sqrtRV1_log1p,1.7105927859597867,0.23564123474745519
MAD_over_sqrtRV1_log1p,1.6493017408106818,0.23453583590537047
LOG_deltaHat31,1.5400501221593381,0.899187067408459
HALF_LOG_deltaHat31,1.5400501221593381,0.899187067408459
VAR_CURV_10_20_30,1.3514095641897723,0.37101583503549007
HL_PROXY31_log1p,1.2771638135962278,0.8966062824712749
ACFCONTR_L2_D8_minus_D1,1.20842357135668,0.5363696148153791
ACFCONTR_L2_D5_minus_D1,1.1942526340014028,0.5300286810947269
HL_PROXY21_log1p,1.1762325615755662,0.9126538992401874
MA3_VAR_over_RV1_CONTR_D2_minus_D1,1.1566688460514138,0.3948075370690396
ACFCONTR_L1_D8_minus_D1,1.1467410327263752,0.4131969806514324
ACFCONTR_L1_D5_minus_D1,1.120945319980471,0.39607681665518363
ACFCONTR_L3_D2_minus_D1,1.113825878035855,0.5474356485331793
ACFCONTR_L2_D2_minus_D1,1.1063213837430403,0.47019301831010546
MA3_VAR_over_RV1_CONTR_D5_minus_D1,1.1013347682393109,0.427808221625302
MA5_VAR_over_RV1_CONTR_D5_minus_D1,1.0798795705663562,0.4632945844676252
MA3_VAR_over_RV1_CONTR_D8_minus_D1,1.077662841914271,0.43108332355492157
VR_SLOPE_50_100,1.0724035200764381,0.4148112401494197
MA8_VAR_over_RV1_CONTR_D5_minus_D1,1.0624950971927207,0.5038927291042636
MA8_VAR_over_RV1_CONTR_D8_minus_D1,1.0565442588354912,0.5113810332578684
ACF_LAG3_D5,1.0535998591422113,0.4510828653103575
MA5_VAR_over_RV1_CONTR_D8_minus_D1,1.0494672790162025,0.4659739743475171
LOG_deltaHat21,1.0246862608553235,0.918170112214023
HALF_LOG_deltaHat21,1.0246862608553235,0.918170112214023
ACFCONTR_L1_D2_minus_D1,1.0200791685024955,0.34338671406725185
ACFCONTR_L3_D5_minus_D1,1.0163092643414817,0.5736321971175348
ACFCONTR_L4_D2_minus_D1,1.000429719715285,0.5617327144447499
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.9799212163287446,0.41759677719504723
VR_AREA_DEF_5_50_D2,0.9670118733373874,0.5426084061282185
ACFCONTR_L3_D8_minus_D1,0.9599582331961798,0.5685058955730896
ACFCONTR_L4_D5_minus_D1,0.9564045553760482,0.5869813510113226
ACC3VAR_NORM_g4_log1p,0.9446038327908588,0.5354036930916992
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.9425492328175658,0.459633905571716
ACF_LAG2_D8,0.9379686160559371,0.4771054951759248
ACCVAR_NORM_g4_log1p,0.9251637533663588,0.5143890905980963
HAAR_v3_over_RV1_log1p,0.9242971831237835,0.5123588497917407
ACFCONTR_L5_D2_minus_D1,0.9224027252801422,0.5447552582091721
VR50_D8,0.9076325241798268,0.4560287571950732
ACC3_OVER_ACC2_RATIO_g4_log1p,0.8888424812287038,0.4976515213755298
BP_HF_over_LF_log1p,0.8811240642060914,0.49168627792071473
VR50_D2,0.8632055666380958,0.543330019081394
ACC3VAR_NORM_g6_log1p,0.8621458971966013,0.5269542059125478
VR100_log1p,0.8487876405690981,0.4845034593024192
VR50_log1p,0.8482958914657734,0.48421347359171363
MA5_VAR_over_RV1_D2,0.8449305372090512,0.5043602729125839
MA3_VAR_over_RV1_D5,0.8420285902351279,0.5456521557403822
VR50_D5,0.8408119261939604,0.5090757923262271
VR10_D2,0.8365851384215386,0.5273164521169459
ACF_LAG1_D5,0.8360106128772089,0.543137146163924
MA8_VAR_over_RV1_D2,0.8300047240389224,0.5218812543649385
VR30_log1p,0.8260952638366017,0.4734273664056494
ACFCONTR_L4_D8_minus_D1,0.8226886254943544,0.5709643437580176
ACF_LAG1_D2,0.8122280046402779,0.41735968672492885
VR_AREA_DEF_5_50_D5,0.8116668227135256,0.5268232723782293
VR20_log1p,0.8047232332654856,0.45911779498390504
ACF_LAG1_Z,0.8043774444604137,0.354637228923789
MA3_VAR_over_RV1_D2,0.8043182285581852,0.46509534675585806
ACFCONTR_L5_D5_minus_D1,0.8029148300918144,0.5771862405127566
ACC3_OVER_ACC2_RATIO_g6_log1p,0.8025631612411669,0.5126830828594414
VR10_D5,0.7958096927102284,0.5460965972370815
VR10_D8,0.7947042584035494,0.5194572761528458
MA8_VAR_over_RV1_D5,0.7925030362886841,0.5478932055670831
MA5_VAR_over_RV1_D5,0.7923111581245115,0.5473539865536429
