,sigma_e,share_sigma_e
ACF_LAG5_D8,3.5943493440352254,0.3611474891080668
ACF_LAG5_D5,3.3242830780476442,0.3604691953004865
ACF_LAG4_D8,3.185100725446565,0.36767144570486276
VR_SLOPE_10_50_D8,3.0327350700697644,0.39147657831911986
IQR_over_sqrtRV1_log1p,2.9544045998256085,0.40698145903605704
MAD_over_sqrtRV1_log1p,2.8894520951466927,0.41088907243295175
ACF_LAG3_D8,2.7537927063004317,0.3452132549379965
VR_SLOPE_10_50_D5,2.0690682163957317,0.3569721104504235
ACF_LAG4_D5,1.9358998810293222,0.3350104839781053
VAR_CURV_10_20_30,1.5523474875560563,0.4261813107014373
MA3_VAR_D8,1.0389781778150626,0.925271443564813
MA5_VAR_D5,1.0351007112699353,0.9269717926148783
VARFIT_SLOPE_10_50,1.0347364845232787,0.9715776237364004
COV_LAG2,1.0341655763503586,0.6655038542328126
VARFIT_TS_SLOPE_10_50,1.0296405326816656,0.971983114316758
MA8_VAR_D8,1.0221837944825953,0.9606150675511039
MA5_VAR_D8,1.021402878231485,0.9494417978318362
MA8_VAR_D5,1.0207980480678023,0.9488691779246794
MA8_VAR_D2,1.007334755212335,0.889500307039105
MA3_VAR_D5,0.9802954691474722,0.8811028863578684
COV_LAG1,0.9774464754003575,0.6721927584453083
ACFCONTR_L1_D2_minus_D1,0.97406619400619,0.3278974808737716
MA5_VAR_D2,0.9602245949426436,0.8365613218433814
BP_LF_log1p,0.9298665481162957,0.887071516957327
MA8_VAR_log1p,0.929502650486198,0.8023079278935438
MA3_VAR_D2,0.9019865718734762,0.7602660681928788
VR_SLOPE_50_100,0.9002656464793961,0.3482274184006963
COV_LAG3,0.8962741181393843,0.5971103573041215
MA5_VAR_log1p,0.8893479112593395,0.7387258046391997
MA3_VAR_over_RV1_CONTR_D2_minus_D1,0.885733926659666,0.30232890881150976
MA3_VAR_log1p,0.8539032871964296,0.6650474328976567
ACFCONTR_L1_D5_minus_D1,0.848657421591027,0.29986612547740166
ACFCONTR_L1_D8_minus_D1,0.8115590981055515,0.2924232755150986
IQR_r1_log1p,0.7833754511363038,0.4755296211743474
MAD_r1_log1p,0.7808235182533712,0.4751308364564214
COV_LAG4,0.7632785937832821,0.5504720824361666
ACF_LAG1_Z,0.7335702648462247,0.3234194689788546
MA3_VAR_over_RV1_CONTR_D5_minus_D1,0.733555355192616,0.28494606818812346
ACF_SIGN_LAG1,0.7163814169702627,0.32640131134791844
ACF_LAG3_D5,0.7088287419390158,0.3034743191675292
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.7060750136637807,0.28244192128643764
AR1_PHI,0.7019089894534878,0.32938574687983224
RV1_log1p,0.6877293696980623,0.48224139842631314
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.6821770815910395,0.29071209603565806
COV_LAG5,0.6529603939876595,0.5178334311185134
VR50_D8,0.64934369520523,0.32625472361127966
ACFCONTR_L2_D2_minus_D1,0.6272621833215566,0.26659007371790283
MA5_VAR_over_RV1_CONTR_D5_minus_D1,0.6250257307925832,0.268151231046305
BP_MID_log1p,0.612633557657367,0.5371508249383224
ACC3VAR_NORM_g1_log1p,0.6007104196681463,0.34408958798331807
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.6000207575215663,0.2664152210018694
ACC3_OVER_ACC2_RATIO_g1_log1p,0.597622058680839,0.32638013101602426
P_SIGN_FLIP_L1,0.5975555114349805,0.3260177409102189
SPECTRAL_TILT_log1p,0.5916662694350219,0.3459010617757212
ACF_LAG2_D8,0.5892665125384973,0.2997352858536407
HAAR_v1_over_v2,0.5782607457864916,0.33042804597198033
ACF_LAG1_D2,0.5743017636552395,0.2951023638625705
ACCVAR_NORM_g1_log1p,0.5711989473920711,0.32906873818769394
HAAR_v1_over_RV1_log1p,0.5684369761643964,0.32811563434074253
HAAR_v1_over_v3,0.5557399222894046,0.32764745189397554
MA3_VAR_over_RV1_log1p,0.5545569632748384,0.3166957570845495
HAAR_v1_over_v4,0.5519052049241652,0.31259263656932873
BP_HF_over_MID_log1p,0.5506260419634785,0.29536356420241017
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.5489789921457516,0.26770947283303936
ACC3_OVER_ACC2_RATIO_g2_log1p,0.5484282648311768,0.29674430691188064
MA3_RESID_VAR_over_RV1_log1p,0.5376294693335933,0.32643252037033077
