,sigma_eta,share_sigma_eta
ACF_LAG5_D8,3.207703301338641,0.3222986644313096
ACF_LAG5_D5,2.6521929470875523,0.2875909887853942
IQR_over_sqrtRV1_log1p,2.5943126742423077,0.35737730621635
ACF_LAG4_D8,2.50684139168622,0.2893767193201832
MAD_over_sqrtRV1_log1p,2.4934411991582848,0.35457509166153556
VR_SLOPE_10_50_D8,2.32371837293523,0.2999540997140348
ACF_LAG3_D8,2.2172846941033213,0.2779570388956141
VR_SLOPE_10_50_D5,1.6409997276273522,0.2831183290032556
ACF_LAG4_D5,1.5715181644871623,0.2719536614596515
ACFCONTR_L1_D2_minus_D1,0.9764971426127298,0.32871580505864
MA3_VAR_over_RV1_CONTR_D2_minus_D1,0.8873002786487361,0.30286355411910926
ACFCONTR_L1_D5_minus_D1,0.8605182673941618,0.3040570578670614
ACFCONTR_L1_D8_minus_D1,0.8169888630954941,0.29437974383310855
MA3_VAR_over_RV1_CONTR_D5_minus_D1,0.7394754744398516,0.287245710186186
VAR_CURV_10_20_30,0.7387008612975055,0.20280285426279798
ACF_LAG1_Z,0.7302220677387335,0.32194330209691546
ACF_SIGN_LAG1,0.7169004174772645,0.3266377809743809
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.7161566729945472,0.2864747551582406
AR1_PHI,0.6945587063541845,0.32593646994390457
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.6844744484274283,0.2916911267688685
MA5_VAR_over_RV1_CONTR_D5_minus_D1,0.6259649629822452,0.2685541844856407
ACFCONTR_L2_D2_minus_D1,0.6193254312840772,0.26321690797156666
VR_SLOPE_50_100,0.6126115979907857,0.23696134144949718
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.6027134527948909,0.2676108046501695
P_SIGN_FLIP_L1,0.5990523774293676,0.3268344095888551
ACC3_OVER_ACC2_RATIO_g1_log1p,0.5922911674117916,0.32346876426583365
ACC3VAR_NORM_g1_log1p,0.5872258951477052,0.3363655926363541
SPECTRAL_TILT_log1p,0.5793062809143106,0.33867514173648655
ACF_LAG3_D5,0.5732838370688105,0.2454428155216851
HAAR_v1_over_v2,0.5731495165943962,0.32750740249623833
HAAR_v1_over_RV1_log1p,0.5682786724441702,0.3280242575870152
ACCVAR_NORM_g1_log1p,0.5672885453658119,0.3268159485660344
ACF_LAG1_D2,0.5595805784260607,0.28753794941198674
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.5591238731335701,0.27265662159475695
MA3_VAR_over_RV1_log1p,0.5518017232673437,0.31512229776853923
HAAR_v1_over_v3,0.5502127590530818,0.32438880359834316
ACC3_OVER_ACC2_RATIO_g2_log1p,0.5433315525990956,0.2939865709675018
BP_HF_over_MID_log1p,0.5377457492061289,0.2884543937548678
HAAR_v1_over_v4,0.5362721468283238,0.3037382557730976
MA3_RESID_VAR_over_RV1_log1p,0.5329184986874569,0.3235721600122664
MA8_VAR_over_RV1_CONTR_D5_minus_D1,0.5265454295653451,0.2497163649997841
ACFCONTR_L2_D5_minus_D1,0.523885257483338,0.23250877089423183
ACFCONTR_L2_D8_minus_D1,0.5131214427448864,0.22775354364330852
MA5_VAR_over_RV1_log1p,0.5121858018646438,0.305602962353277
MA8_VAR_over_RV1_CONTR_D8_minus_D1,0.5000430080392652,0.2420272581920372
VR10_log1p,0.4854779955911256,0.28465435696220087
MA5_RESID_VAR_over_RV1_log1p,0.48267504636178604,0.29584902196783147
VR20_log1p,0.46778788545542793,0.26688646930071314
AR1_R2,0.4610742730985324,0.288674013750088
MA3_VAR_over_RV1_D2,0.45905658703962715,0.26544851894315974
MA8_VAR_over_RV1_log1p,0.45795922862190186,0.28086046527066716
HAAR_v4_over_RV1_log1p,0.4544546037835223,0.2653189744931821
ACFCONTR_L3_D2_minus_D1,0.4513276671912782,0.22182358936166754
VR30_log1p,0.44980180078285875,0.2577771490423019
BP_HF_over_LF_log1p,0.4433046443592441,0.24737357589518896
ACC3_OVER_ACC2_RATIO_g4_log1p,0.44244316515935217,0.2477182615747439
VR50_log1p,0.4400121700084864,0.25116215156281146
ACF_LAG2_Z,0.4390283513319395,0.2702840101453257
ACF_LAG2_D8,0.43872130146009575,0.22315921896992585
VR100_log1p,0.437311286234983,0.2496252547112708
MA8_RESID_VAR_over_RV1_log1p,0.43566010970419916,0.27148168928808936
VR50_D8,0.4333204666441473,0.21771651919314475
HAAR_v3_over_RV1_log1p,0.43175610127495817,0.23933217960502917
ACCVAR_NORM_g4_log1p,0.429437677944996,0.23876644088455815
MA5_VAR_over_RV1_D2,0.4135812792296885,0.2468770599212126
ACCVAR_NORM_g6_log1p,0.4124217080932793,0.2609882671331099
ACC3VAR_NORM_g4_log1p,0.40457682608896167,0.22931510471152983
VR_AREA_DEF_5_50_D2,0.3967254373079134,0.22261004558840772
ACC3VAR_NORM_g6_log1p,0.3810333604414177,0.23289228949588098
MA8_VAR_over_RV1_D2,0.375571336080178,0.23614761976685775
MA3_RESID_VAR_log1p,0.37481329848459966,0.2892158370706119
ACFCONTR_L4_D2_minus_D1,0.3745490940404261,0.2103061066078962
VR10_D2,0.3717392847313547,0.23431475379407998
ACFCONTR_L3_D5_minus_D1,0.3639785737055518,0.20543926564883552
ACC3_OVER_ACC2_RATIO_g6_log1p,0.3604965600711506,0.23028777883559437
VR50_D5,0.35719395657060815,0.2162657198244537
ACFCONTR_L5_D2_minus_D1,0.3550651874849801,0.2096954210870571
ACFCONTR_L3_D8_minus_D1,0.34905871661938886,0.20671934615174534
VR50_D2,0.3489808651749718,0.2196600525562351
AR1_RESID_VAR,0.3425683999137689,0.2611155411266023
ACF_LAG1_D5,0.33493316072238977,0.2175984829239731
MA5_RESID_VAR_log1p,0.33192970645667924,0.2542899323886766
MA3_VAR_over_RV1_D5,0.3293156808419243,0.21340345595668025
VR_AREA_DEF_5_50_D5,0.3234833775928366,0.2099612387428691
VR10_D8,0.3135420101665465,0.20494627635164395
IQR_r1_log1p,0.3132349110571195,0.19014187689633813
ACFCONTR_L4_D5_minus_D1,0.31286421045773644,0.19201650170451715
MAD_r1_log1p,0.3128208045945632,0.1903513496628005
VR_AREA_DEF_5_50_D8,0.31098167090297796,0.20903458337375164
ACF_LAG3_Z,0.30938535302584547,0.24707693800711608
MA8_RESID_VAR_log1p,0.3091633225243024,0.23158818145420157
MA5_VAR_over_RV1_D5,0.3020035966556533,0.20863378091796725
VR10_D5,0.30162627066358455,0.2069804898778376
MA8_VAR_over_RV1_D8,0.30075228327831016,0.202379854021173
MA8_VAR_over_RV1_D5,0.30012862992940453,0.20749250110706005
ACC3VAR_NORM_g2_log1p,0.29817632888031936,0.24440102887380397
VR_SLOPE_10_50_D2,0.29725749635685794,0.19972530568844488
MA5_VAR_over_RV1_D8,0.28867734094403286,0.20433498977910472
ACFCONTR_L4_D8_minus_D1,0.28532194152418966,0.19801982190312944
BP_HF_log1p,0.282353886662465,0.23266534459298407
MA3_VAR_over_RV1_D8,0.2805372227433752,0.20312814744975427
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.2803932228459788,0.21474860595458986
ACFCONTR_L5_D5_minus_D1,0.26605346722539797,0.19125615167134385
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.2646677844175306,0.21374565226455747
ACF_LAG1_D8,0.26329890244458987,0.19878832737624072
ACFCONTR_L5_D8_minus_D1,0.25928064937546885,0.2047006669246799
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.2555037141987263,0.20961555351965347
HAAR_v2_over_RV1_log1p,0.25537523834146664,0.21027422285398487
VR_CURV_10_30_50,0.2553298804018532,0.21609756807358318
RV1_log1p,0.2504309739630494,0.17560422517105254
ACCVAR_NORM_g2_log1p,0.24242942757667282,0.209000190525894
VR_SLOPE_10_50,0.24046836107828037,0.19684870942726407
