,sigma_e,sigma_eta,delta,share_sigma_e,share_sigma_eta,share_delta
RV1_log1p,0.6877293696980623,0.2504309739630494,0.487949840868526,0.48224139842631314,0.17560422517105254,0.342154376401933
MAD_r1_log1p,0.7808235182533712,0.3128208045945632,0.5497420001202075,0.4751308364564214,0.1903513496628005,0.33451781388016943
IQR_r1_log1p,0.7833754511363038,0.3132349110571195,0.5507643043967213,0.4755296211743474,0.19014187689633813,0.33432850192870744
MAD_over_sqrtRV1_log1p,2.8894520951466927,2.4934411991582848,1.6493017408106818,0.41088907243295175,0.35457509166153556,0.23453583590537047
IQR_over_sqrtRV1_log1p,2.9544045998256085,2.5943126742423077,1.7105927859597867,0.40698145903605704,0.35737730621635,0.23564123474745519
VR10_log1p,0.49515843437867735,0.4854779955911256,0.7248635341684848,0.2903303692700857,0.28465435696220087,0.42501527376712706
VR20_log1p,0.48024872212393316,0.46778788545542793,0.8047232332654856,0.2739957357148112,0.26688646930071314,0.45911779498390504
VR30_log1p,0.4690279702554782,0.44980180078285875,0.8260952638366017,0.26879548455147545,0.2577771490423019,0.4734273664056494
VR50_log1p,0.4635967031184083,0.4400121700084864,0.8482958914657734,0.2646243748449041,0.25116215156281146,0.48421347359171363
VR100_log1p,0.4657722399997334,0.437311286234983,0.8487876405690981,0.26587128598573917,0.2496252547112708,0.4845034593024192
VR_SLOPE_10_50,0.2923522618507121,0.24046836107828037,0.6887691034031325,0.2393211530423335,0.19684870942726407,0.5638301375295838
VR_SLOPE_50_100,0.9002656464793961,0.6126115979907857,1.0724035200764381,0.3482274184006963,0.23696134144949718,0.4148112401494197
VR_AREA_DEF_5_50_log1p,0.0,0.0,0.0,0.0,0.0,0.0
VR_CURV_10_30_50,0.29070660374289037,0.2553298804018532,0.6355125849993152,0.24603853647249607,0.21609756807358318,0.5378638954530742
MA3_VAR_log1p,0.8539032871964296,0.09918505458674463,0.330885168911018,0.6650474328976567,0.07724852090838077,0.2577040461931836
MA3_VAR_over_RV1_log1p,0.5545569632748384,0.5518017232673437,0.644712967778938,0.3166957570845495,0.31512229776853923,0.36818194514634023
MA3_RESID_VAR_log1p,0.370803950916228,0.37481329848459966,0.5503467001556414,0.2861221186305729,0.2892158370706119,0.4246620442980435
MA3_RESID_VAR_over_RV1_log1p,0.5376294693335933,0.5329184986874569,0.5764370465949494,0.32643252037033077,0.3235721600122664,0.3499953196167955
MA5_VAR_log1p,0.8893479112593395,0.061034326641497084,0.25351223237960274,0.7387258046391997,0.050697405917338276,0.21057678944263122
MA5_VAR_over_RV1_log1p,0.5132242764302007,0.5121858018646438,0.6505743359931668,0.30622258301126354,0.305602962353277,0.3881744546348627
MA5_RESID_VAR_log1p,0.4267247625824694,0.33192970645667924,0.5466654204996856,0.3269120205721397,0.2542899323886766,0.41879804703841766
MA5_RESID_VAR_over_RV1_log1p,0.4845192364803642,0.48267504636178604,0.6642968174190256,0.2969793929016857,0.29584902196783147,0.40717158512986984
MA8_VAR_log1p,0.929502650486198,0.03968518558942754,0.18934820497509788,0.8023079278935438,0.034254597339415674,0.16343747476617718
MA8_VAR_over_RV1_log1p,0.4605139380573973,0.45795922862190186,0.7120846556196938,0.282427235489151,0.28086046527066716,0.43671229923956856
MA8_RESID_VAR_log1p,0.4745284379347382,0.3091633225243024,0.5512784464951962,0.35545994619387766,0.23158818145420157,0.4129518723511717
MA8_RESID_VAR_over_RV1_log1p,0.4347322317349415,0.43566010970419916,0.7343571753565074,0.27090348193576075,0.27148168928808936,0.4576148287755267
P_SIGN_FLIP_L1,0.5975555114349805,0.5990523774293676,0.6362847315382134,0.3260177409102189,0.3268344095888551,0.34714784950038036
ACF_SIGN_LAG1,0.7163814169702627,0.7169004174772645,0.7615053556269926,0.32640131134791844,0.3266377809743809,0.34696090767724513
ACF_LAG1_Z,0.7335702648462247,0.7302220677387335,0.8043774444604137,0.3234194689788546,0.32194330209691546,0.354637228923789
COV_LAG1,0.9774464754003575,0.11902322468436327,0.35764664246616856,0.6721927584453083,0.08185261467833065,0.24595462687567318
ACF_LAG2_Z,0.4422711326401469,0.4390283513319395,0.7430228394077295,0.27228040043161933,0.2702840101453257,0.45743558942243917
COV_LAG2,1.0341655763503586,0.12787003993369322,0.3919231921767507,0.6655038542328126,0.08228663413560255,0.2522095116309413
ACF_LAG3_Z,0.32242782810355686,0.30938535302584547,0.620369056197368,0.25749273427774905,0.24707693800711608,0.4954303277143362
COV_LAG3,0.8962741181393843,0.12144263152996274,0.48330246256698467,0.5971103573041215,0.08090678023297744,0.3219828624622347
ACF_LAG4_Z,0.24511000101665334,0.22191823920261383,0.5043742223441663,0.25232590039928493,0.2284513862737855,0.5192227133259002
COV_LAG4,0.7632785937832821,0.11612881236649875,0.5071817018841261,0.5504720824361666,0.08375142404737196,0.36577649351574015
ACF_LAG5_Z,0.2122388648550812,0.19328823526980965,0.4670434845404116,0.2432340358301762,0.22151587351953764,0.5352500906491402
COV_LAG5,0.6529603939876595,0.1234567863811049,0.4845295927601079,0.5178334311185134,0.09790800770651512,0.3842585611741784
NEG_ACF_MASS_L1_5_log1p,0.15703444817443063,0.09072106286203926,0.740264894001659,0.15893846662834007,0.09182104175110271,0.7492404916195451
AR1_PHI,0.7019089894534878,0.6945587063541845,0.7344957599645395,0.32938574687983224,0.32593646994390457,0.34467778317579384
AR1_RESID_VAR,0.48735956607080727,0.3425683999137689,0.4820138603635267,0.37147955517741277,0.2611155411266023,0.36740490369522266
AR1_R2,0.45870895759750535,0.4610742730985324,0.6774311049781346,0.28719311325464686,0.288674013750088,0.42413287299463903
ACCVAR_NORM_g1_log1p,0.5711989473920711,0.5672885453658119,0.597316857839353,0.32906873818769394,0.3268159485660344,0.34411531324569544
ACC3VAR_NORM_g1_log1p,0.6007104196681463,0.5872258951477052,0.5578602470287498,0.34408958798331807,0.3363655926363541,0.3195448193797549
ACC3_OVER_ACC2_RATIO_g1_log1p,0.597622058680839,0.5922911674117916,0.6411481709970442,0.32638013101602426,0.32346876426583365,0.3501511047175958
ACCVAR_NORM_g2_log1p,0.25429668655008086,0.24242942757667282,0.6632222426974862,0.21923104166989538,0.209000190525894,0.5717687678033484
ACC3VAR_NORM_g2_log1p,0.30499152638663857,0.29817632888031936,0.616861087549145,0.24998712381560315,0.24440102887380397,0.505611847309773
ACC3_OVER_ACC2_RATIO_g2_log1p,0.5484282648311768,0.5433315525990956,0.7563911059629701,0.29674430691188064,0.2939865709675018,0.40926912212007627
ACCVAR_NORM_g4_log1p,0.44396655987626465,0.429437677944996,0.9251637533663588,0.2468444685167896,0.23876644088455815,0.5143890905980963
ACC3VAR_NORM_g4_log1p,0.4151027126742491,0.40457682608896167,0.9446038327908588,0.23528120219620413,0.22931510471152983,0.5354036930916992
ACC3_OVER_ACC2_RATIO_g4_log1p,0.45478842964693333,0.44244316515935217,0.8888424812287038,0.25463021704916644,0.2477182615747439,0.4976515213755298
ACCVAR_NORM_g6_log1p,0.4192138540862488,0.4124217080932793,0.7485952758706512,0.2652864657439824,0.2609882671331099,0.47372526712227486
ACC3VAR_NORM_g6_log1p,0.3929133810060951,0.3810333604414177,0.8621458971966013,0.24015350459095985,0.23289228949588098,0.5269542059125478
ACC3_OVER_ACC2_RATIO_g6_log1p,0.40235795692358983,0.3604965600711506,0.8025631612411669,0.2570291383043252,0.23028777883559437,0.5126830828594414
SPECTRAL_TILT_log1p,0.5916662694350219,0.5793062809143106,0.5395346865966658,0.3459010617757212,0.33867514173648655,0.31542379648720764
BP_HF_log1p,0.4339969586416172,0.282353886662465,0.49721143727896205,0.357622319735832,0.23266534459298407,0.4097123356703598
BP_MID_log1p,0.612633557657367,0.13516180818690313,0.39272891376969954,0.5371508249383224,0.11850848824764385,0.3443406868131567
BP_LF_log1p,0.9298665481162957,0.022396593671847275,0.09597990326516831,0.887071516957327,0.021365840467548122,0.09156264257417078
BP_HF_over_MID_log1p,0.5506260419634785,0.5377457492061289,0.775859646618175,0.29536356420241017,0.2884543937548678,0.41618204204218545
BP_HF_over_LF_log1p,0.46761655235138755,0.4433046443592441,0.8811240642060914,0.2609401461835382,0.24737357589518896,0.49168627792071473
