,semi_sigma_e,share_sigma_e,score_sigma_e
ACF_LAG5_D8,3.5943493440352254,0.3611474891080668,1.2980902405755488
IQR_over_sqrtRV1_log1p,2.9544045998256085,0.40698145903605704,1.2023878946198643
ACF_LAG5_D5,3.3242830780476442,0.3604691953004865,1.1983016460948586
VR_SLOPE_10_50_D8,3.0327350700697644,0.39147657831911986,1.1872447481793076
MAD_over_sqrtRV1_log1p,2.8894520951466927,0.41088907243295175,1.1872442912142736
ACF_LAG4_D8,3.185100725446565,0.36767144570486276,1.1710705884405457
VARFIT_SLOPE_10_50,1.0347364845232787,0.9715776237364004,1.0053268148264838
VARFIT_TS_SLOPE_10_50,1.0296405326816656,0.971983114316758,1.000793211582691
MA8_VAR_D8,1.0221837944825953,0.9606150675511039,0.9819251547865421
MA5_VAR_D8,1.021402878231485,0.9494417978318362,0.9697625850187133
MA8_VAR_D5,1.0207980480678023,0.9488691779246794,0.9686038046972129
MA3_VAR_D8,1.0389781778150626,0.925271443564813,0.9613368384192819
MA5_VAR_D5,1.0351007112699353,0.9269717926148783,0.9595091618628274
ACF_LAG3_D8,2.7537927063004317,0.3452132549379965,0.9506457435664862
MA8_VAR_D2,1.007334755212335,0.889500307039105,0.8960245740525337
MA3_VAR_D5,0.9802954691474722,0.8811028863578684,0.8637411673493784
BP_LF_log1p,0.9298665481162957,0.887071516957327,0.8248581294053957
MA5_VAR_D2,0.9602245949426436,0.8365613218433814,0.8032867564117434
MA8_VAR_log1p,0.929502650486198,0.8023079278935438,0.7457473454831384
VR_SLOPE_10_50_D5,2.0690682163957317,0.3569721104504235,0.7385996478726778
COV_LAG2,1.0341655763503586,0.6655038542328126,0.6882411769760616
MA3_VAR_D2,0.9019865718734762,0.7602660681928788,0.6857497845610212
VAR_CURV_10_20_30,1.5523474875560563,0.4261813107014373,0.6615814869107232
COV_LAG1,0.9774464754003575,0.6721927584453083,0.6570324425320105
MA5_VAR_log1p,0.8893479112593395,0.7387258046391997,0.6569842513492472
ACF_LAG4_D5,1.9358998810293222,0.3350104839781053,0.6485467560767897
MA3_VAR_log1p,0.8539032871964296,0.6650474328976567,0.5678861890928559
COV_LAG3,0.8962741181393843,0.5971103573041215,0.5351745589246442
COV_LAG4,0.7632785937832821,0.5504720824361666,0.42016355699883223
IQR_r1_log1p,0.7833754511363038,0.4755296211743474,0.37251823151613
MAD_r1_log1p,0.7808235182533712,0.4751308364564214,0.37099333135257007
COV_LAG5,0.6529603939876595,0.5178334311185134,0.33812472120312603
RV1_log1p,0.6877293696980623,0.48224139842631314,0.33165157298204045
BP_MID_log1p,0.612633557657367,0.5371508249383224,0.32907662088055406
ACFCONTR_L1_D2_minus_D1,0.97406619400619,0.3278974808737716,0.31939385121893216
VR_SLOPE_50_100,0.9002656464793961,0.3482274184006963,0.313497181948354
MA3_VAR_over_RV1_CONTR_D2_minus_D1,0.885733926659666,0.30232890881150976,0.26778297154435066
ACFCONTR_L1_D5_minus_D1,0.848657421591027,0.29986612547740166,0.25448361287014304
ACFCONTR_L1_D8_minus_D1,0.8115590981055515,0.2924232755150986,0.23731876974210464
ACF_LAG1_Z,0.7335702648462247,0.3234194689788546,0.23725090551524372
ACF_SIGN_LAG1,0.7163814169702627,0.32640131134791844,0.2338278339243737
AR1_PHI,0.7019089894534878,0.32938574687983224,0.23119881673280537
ACF_LAG3_D5,0.7088287419390158,0.3034743191675292,0.21511131986631907
VR50_D8,0.64934369520523,0.32625472361127966,0.21185144780790935
MA3_VAR_over_RV1_CONTR_D5_minus_D1,0.733555355192616,0.28494606818812346,0.2090237142604783
ACC3VAR_NORM_g1_log1p,0.6007104196681463,0.34408958798331807,0.20669820080089854
SPECTRAL_TILT_log1p,0.5916662694350219,0.3459010617757212,0.20465799081445402
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.7060750136637807,0.28244192128643764,0.19942518343154592
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.6821770815910395,0.29071209603565806,0.1983171292568192
ACC3_OVER_ACC2_RATIO_g1_log1p,0.597622058680839,0.32638013101602426,0.19505196581031836
P_SIGN_FLIP_L1,0.5975555114349805,0.3260177409102189,0.19481369790648284
HAAR_v1_over_v2,0.5782607457864916,0.33042804597198033,0.19107356829253047
ACCVAR_NORM_g1_log1p,0.5711989473920711,0.32906873818769394,0.1879637168724478
HAAR_v1_over_RV1_log1p,0.5684369761643964,0.32811563434074253,0.18651305901691445
HAAR_v1_over_v3,0.5557399222894046,0.32764745189397554,0.1820867694538794
AR1_RESID_VAR,0.48735956607080727,0.37147955517741277,0.1810441148154404
ACF_LAG2_D8,0.5892665125384973,0.2997352858536407,0.17662396657970442
MA3_VAR_over_RV1_log1p,0.5545569632748384,0.3166957570845495,0.17562583733083365
MA3_RESID_VAR_over_RV1_log1p,0.5376294693335933,0.32643252037033077,0.17549974269992832
