depth,width,dropout,residual,lr,weight_decay,lambda_e,lambda_eta,lambda_d,best_val_loss,val_mse_e,val_mse_eta,val_mse_d,best_epoch
2,64,0.0,False,0.001,0.0,1.0,1.0,1.0,0.057081576333277755,0.0023840376848561894,0.023147395656754572,0.03155014358667864,36
2,64,0.0,False,0.001,0.0,1.0,1.0,2.0,0.08335822489526537,0.0013907379341415232,0.022866328427982,0.029550579221298296,55
2,64,0.0,False,0.001,0.0001,1.0,1.0,1.0,0.05476415721285674,0.0013361817448943232,0.022822784984277353,0.030605190433561802,65
2,64,0.0,False,0.001,0.0001,1.0,1.0,2.0,0.08230785808215539,0.001681687226260288,0.022839162886763614,0.028893503981331985,89
2,64,0.0,False,0.001,0.001,1.0,1.0,1.0,0.05289934746300181,0.002018502816402664,0.021892022031048935,0.02898882215635644,154
2,64,0.0,False,0.001,0.001,1.0,1.0,2.0,0.07766805847899781,0.0016064931664408909,0.02200682761354579,0.02702736862314244,153
2,64,0.0,False,0.0003,0.0,1.0,1.0,1.0,0.05309964488777849,0.001010893223186334,0.022064399336361222,0.03002435201779008,149
2,64,0.0,False,0.0003,0.0,1.0,1.0,2.0,0.07860296354111698,0.0013092726294416934,0.021615652238122292,0.027839019221978054,214
2,64,0.0,False,0.0003,0.0001,1.0,1.0,1.0,0.051551849426080786,0.0009629036487442338,0.02160724366290702,0.02898170245397422,198
2,64,0.0,False,0.0003,0.0001,1.0,1.0,2.0,0.07807008363306522,0.001297756877546716,0.021841394947841763,0.02746546578903993,198
2,64,0.0,False,0.0003,0.001,1.0,1.0,1.0,0.05240484642692738,0.0013531669699457577,0.021919272038050823,0.029132407158613205,217
2,64,0.0,False,0.0003,0.001,1.0,1.0,2.0,0.07436412603904803,0.0012394186051096767,0.021057477505463693,0.026033614632777043,258
2,64,0.0,True,0.001,0.0,1.0,1.0,1.0,0.05279395936263932,0.0010707834509149608,0.023631162682755127,0.02809201330981321,77
2,64,0.0,True,0.001,0.0,1.0,1.0,2.0,0.08558663322279851,0.002501101617882442,0.02335208155111306,0.029866724766583905,60
2,64,0.0,True,0.001,0.0001,1.0,1.0,1.0,0.04921542677200503,0.0011237682887844534,0.021467640116396878,0.026624018455752067,157
2,64,0.0,True,0.001,0.0001,1.0,1.0,2.0,0.08181356286836995,0.00191781257550853,0.022987612083347306,0.028454069022296205,69
2,64,0.0,True,0.001,0.001,1.0,1.0,1.0,0.05384949491255813,0.0014276149126494096,0.022227356960583065,0.03019452309753332,106
2,64,0.0,True,0.001,0.001,1.0,1.0,2.0,0.08633495080802175,0.0027107433933350774,0.023472976819094684,0.030075615194315713,49
2,64,0.0,True,0.0003,0.0,1.0,1.0,1.0,0.051864397142910294,0.0008537926931037671,0.02169529560746418,0.029315308667719364,199
2,64,0.0,True,0.0003,0.0,1.0,1.0,2.0,0.08481695275339815,0.0013443469037560539,0.02295043257375558,0.030261086688066523,83
2,64,0.0,True,0.0003,0.0001,1.0,1.0,1.0,0.05315904484854804,0.001335074132334234,0.02169341764723261,0.03013055357668135,146
2,64,0.0,True,0.0003,0.0001,1.0,1.0,2.0,0.07572921075754696,0.0014825860158048777,0.02101467280752129,0.026615975657477975,198
2,64,0.0,True,0.0003,0.001,1.0,1.0,1.0,0.05285269875700275,0.0013237794369666113,0.02180410150645508,0.029724818085216813,187
2,64,0.0,True,0.0003,0.001,1.0,1.0,2.0,0.08345091498146455,0.0014814481756831002,0.0223169080240445,0.029826279134593077,139
2,64,0.1,False,0.001,0.0,1.0,1.0,1.0,0.0648424704041746,0.0044465876805285616,0.025962890177551243,0.034432992339134216,40
2,64,0.1,False,0.001,0.0,1.0,1.0,2.0,0.09492312920176321,0.005128293336989979,0.025265256977743573,0.03226478943704731,88
2,64,0.1,False,0.001,0.0001,1.0,1.0,1.0,0.06449668088720904,0.0041857461587318946,0.026827952746922772,0.0334829814835555,64
2,64,0.1,False,0.001,0.0001,1.0,1.0,2.0,0.09896052132050197,0.003052491950155753,0.027638672178404197,0.03413467849087384,57
2,64,0.1,False,0.001,0.001,1.0,1.0,1.0,0.06283157598227262,0.002787208320417752,0.025391989542792242,0.03465237866880165,84
